source,reference,hypothesis
මම දන්නෙ නැහැ- - දියමත ලිස්සා යන්නෙක් වෙන්න?,I don't know-- a windsurfer?,Δεν ξέρω... Να γίνω γλύκα;
"බලන්න ,මම දන්නවා මේක අමාරුයි∙","Look, I know this is hard.","Podívej, vím, že je to těžké."
එයාලට අපේ නම් ගැන දැනගන්න පුළුවන් අපෙන් අල්ලාගෙන ගිය අයගෙන්.,They coulda got our names from the people they took.,Μπορούν να μάθουν τα ονόματά μας από αυτούς που μας έπιασαν.
- ඔයා බිමට දැම්මා.,- You brought her down.,- L-ai aruncat pe pământ.
එතකොට දැන්∙∙∙ ∙∙∙ මම ඔයාගේ ඒවා විනාශ කරන්න යනවා∙,And now I'm gonna kill yours.,Şi acum... mă duc să-ţi distrug lucrurile.
සහ කොහෙට යන්නද?,And go where?,Şi unde să mergem?
ඔයාගෙ අළුත් යාළුවෝ ගැන ඔයාට කිව්වනෙ.,Talk to you about your new friends.,Ţi-am spus despre noii tăi prieteni.
"අපි කතා කරනවා නම් කවුද ටෙරන්ස්ව මැරුවේ කියලා, අපිට පුලුවන් දවසම උනත් ඉන්න.","If we talked about who had motive to kill Terrence, we'd be here all day.","Dacă vorbim despre cine l-a ucis pe Terrance, putem aştepta toată ziua."
- මාව සෙල්ලමට ගන්නවට මම කැමති නෑ.,"- I don't want to be played, Gardner.",- No me gusta que me jueguen.
सन्देश फोल्डरमा सार्नुहोस्,Rewrite Header,संदेश फ़ोल्डर में ले जाएँ
ඒත් පරණ බලකොටුව අත් හැරල දාල නේද තියෙන්නෙ?,"But the old fortress is abandoned. No, Gandalf.","Αλλά το παλιό κάστρο έχει εγκαταλειφθεί, έτσι δεν είναι;"
මම කියපු හැමදෙයක්ම.,Everything I said.,Tot ce am spus.
ඒක පවුලේ කෑමවේලක්.,It was a family dinner.,Είναι οικογενειακό γεύμα.
"पाठ, प्रदर्शन गर्नका लागि पाठ फाइलको यूआरएल, कार्यान्वयनका लागि आदेश, वा इमेल विषय वस्तु लाइन संसूचक सन्देश","Alarm message text, URL of text file to display, command to execute, or email subject line","पाठ, प्रदर्शित करने के लिए पाठ फ़ाइल का यूआरएल, कार्यान्वयन के लिए आदेश, या ईमेल विषय लाइन सूचना संदेश"
