src,tgt,lang,source,src_tokens,tgt_tokens,len_ratio
මේකට මොනවද දැම්මෙ?,What did you put in this?,si,opus_ne_si_en_train.csv,3,6,0.5
"මේරියන්, මම හිතන්නේ ඔයාට තේරෙන්නේ නෑ--","Marion, I don't think you realize--",si,opus_ne_si_en_train.csv,6,6,1.0
ඔව් ඒක තමයි මම කියන්නේ.,"Yeah, of course. - Prove it.",si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
"කොහොම නමුත්, මම හිතන්නෙ තව ටිකකින් වහියි.","Yes, it is. - Though I think it might rain later.",si,opus_ne_si_en_train.csv,7,11,0.6363636363636364
"මැඩම්, මේක බොහෝම වැදගත් ඒකයි.","Ma'am, this is really important",si,opus_ne_si_en_train.csv,5,5,1.0
"यदि तपाईँ डेस्कटपमा कोर्ने कार्यक्रम X11 चलाउन चाहनुहुन्छ भने यो विकल्प जाँच गर्नुहोस् जस्तै: xsnow, xpenguin or xmountain. यदि तपाईँसँग टिप्पणी चल्नका लागि मूल सञ्झ्याल जाँच गर्ने नेटस्केप जस्तो अनुप्रयोगमा समस्या भएमा, यो विकल्प अक्षम पार्नुहोस् ।","Check this option if you want to run X11 programs that draw into the desktop such as xsnow, xpenguin or xmountain. If you have problems with applications like netscape that check the root window for running instances, disable this option.",ne,opus_ne_si_en_train.csv,37,40,0.925
ඇලෙක්ස්.. මම ඔයාව ගෙනියන්නම්...,I'll get you out of this.,si,opus_ne_si_en_train.csv,4,6,0.6666666666666666
කර්නල් සන්ත්‍රාසය,Kernel Panic,si,opus_ne_si_en_train.csv,2,2,1.0
"ඉතින්, මං මොනාද හොයන්න ඕනි?","So, what am I looking for?",si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
भिडियो फाइलको नाम (आगत फाइलको रूपमा प्रयोग गरिएको),Name of videofile (used as inputfile),ne,opus_ne_si_en_train.csv,8,6,1.3333333333333333
"හැකිය කෙනෙකුට කරන්නට දෝශාරෝපන නුඹ අත්විඳිනා දෙය නම්, දෝශාරෝපණය කිරීමයි,",What really matters is the blame Someone you can blame,si,opus_ne_si_en_train.csv,10,10,1.0
- සුභ රාත්‍රියක්!,- Good night.,si,opus_ne_si_en_train.csv,3,3,1.0
අනිවාර්යයෙන්ම තව අය ඇති මගේ රාජ්‍යට අභියෝග කරන්න හිතන.,Surely there are others out there who still dare to challenge my reign.,si,opus_ne_si_en_train.csv,9,13,0.6923076923076923
"I බැක්ටීරියාගැන හොයන,බබාලාගැන නෙමෙයි","I do bacteria,not babies",si,opus_ne_si_en_train.csv,4,4,1.0
ඒක ගොඩක් රිදෙනවා.,That hurts so much.,si,opus_ne_si_en_train.csv,3,4,0.75
අවුරුදු කීපෙකට පස්සෙ පාරෙදි එයා මාව පහුකරගෙන ඇවිදගෙන ගියා.,"A few years later, he walked past me on the street. - Walked?",si,opus_ne_si_en_train.csv,9,13,0.6923076923076923
"ටලී මෙනවියව මරපු මිනිහා, ඒ වේදිකාවේ ඊට කලිනුත් ඉඳලා තියෙනවා.","The man who killed Ms. Tully, he'd been on that platform before.",si,opus_ne_si_en_train.csv,10,12,0.8333333333333334
ඒත් මිනිස්සු කතාබහ කරනවා∙,But people are talking.,si,opus_ne_si_en_train.csv,4,4,1.0
හිතාගන්න බැහැ නගරාධිපතිගේ දුව සිරගෙදර හිරකාරයින්ට බෙහෙත් කරනවා කිවුවම.,Wouldn't think you'd find the daughter of Frontier Justice Frank working in a prison.,si,opus_ne_si_en_train.csv,9,14,0.6428571428571429
අපි වෙනුවෙන් වෙනකෙනෙක් සටන් කරාවි කියලා හිතන්නේ ඇයි?,Why do we expect someone to fight for us?,si,opus_ne_si_en_train.csv,8,9,0.8888888888888888
මාව විවාහ කර ගන්න. මන්දිරා..,Marry me. Okay. Mandira..,si,opus_ne_si_en_train.csv,5,4,1.25
विषयवस्तु बाट,From _Theme,ne,opus_ne_si_en_train.csv,2,2,1.0
"තේරුම් ගැන්වුවත් ඔහුගේ යහළුවෙක් විදියට හිතුවොත්,",And if he still didn't agree?,si,opus_ne_si_en_train.csv,6,6,1.0
"ඔයා ඔහුගෙ මත්ද්‍රව්‍ය නිවාරකයා වෙලා හිටියා, ඔහුගෙ උරහිසේ වහපු වෘත්තීමය දිව්‍ය දූතිකාවක්, ඔහුගෙ යක්ෂයන් බොහෝමයක් පලවා හැරියා, ඒත් දැන්... දැන් මම දන්නෙ නැහැ ඔයා කවුද කියලා.","You were his sober companion, a professional angel to perch on his shoulder, fend off his many demons, but now... now I don't know what you are.",si,opus_ne_si_en_train.csv,26,27,0.9629629629629628
අංශක පහක් සුක්කානම වමට.,"""Five degree left rudder.""",si,opus_ne_si_en_train.csv,4,4,1.0
හොඳයි එහෙනම් ඒක කියන්න මාව මරන්න හදන උන්ට.,Well tell that to the guys who are trying to kill me.,si,opus_ne_si_en_train.csv,8,12,0.6666666666666666
"ඔයා එයා ගැන ගොඩක් හිතනවා, එහෙම නේද?","You think about him a lot, don't you?",si,opus_ne_si_en_train.csv,7,8,0.875
"විසුණුවේගය, ගාඩියන්.","Good to go. Godspeed, Guardian.",si,opus_ne_si_en_train.csv,2,5,0.4
සල්ලි දාන්න.,Just wire it.,si,opus_ne_si_en_train.csv,2,3,0.6666666666666666
लक्ष्य फेला पार्न सकिएन '%s',Can't load provider: %s,ne,opus_ne_si_en_train.csv,5,4,1.25
"වතුරේ භාගයක් බැහැලා ඉඳීම , ජිවත්වෙන්න ප්‍රමාණවත් නැහැ,","Only half in the water. Not enough to live,",si,opus_ne_si_en_train.csv,8,9,0.8888888888888888
පියාණනි... ඔහුට සමාව දෙන්න.,Dad... spare him.,si,opus_ne_si_en_train.csv,4,3,1.3333333333333333
මං එයාව අවුරුදු ගානකින් දැකලා නෑ .,I haven't seen him in years.,si,opus_ne_si_en_train.csv,7,6,1.1666666666666667
සහ ඔහුගේ දෙවියන්ගේ සිද්ධස්ථාන වලට?,"""And the temples of his Gods""",si,opus_ne_si_en_train.csv,5,6,0.8333333333333334
ඇමරිකාවේ ඉඳන් එනකොට මම බිකිනියක් ඇඳන් ඒවි කියලද?,I'll come from America in a two-piece bikini?,si,opus_ne_si_en_train.csv,8,8,1.0
