source,reference,hypothesis
මම දන්නෙ නැහැ- - දියමත ලිස්සා යන්නෙක් වෙන්න?,I don't know-- a windsurfer?,I don't know-- to be a slippery slope?
"බලන්න ,මම දන්නවා මේක අමාරුයි∙","Look, I know this is hard.","Look, I know this is hard."
එයාලට අපේ නම් ගැන දැනගන්න පුළුවන් අපෙන් අල්ලාගෙන ගිය අයගෙන්.,They coulda got our names from the people they took.,They can know our names from the people who took us.
- ඔයා බිමට දැම්මා.,- You brought her down.,- You put it down.
එතකොට දැන්∙∙∙ ∙∙∙ මම ඔයාගේ ඒවා විනාශ කරන්න යනවා∙,And now I'm gonna kill yours.,And now I'm going to destroy yours.
සහ කොහෙට යන්නද?,And go where?,And where to?
ඔයාගෙ අළුත් යාළුවෝ ගැන ඔයාට කිව්වනෙ.,Talk to you about your new friends.,Told you about your new friends.
"අපි කතා කරනවා නම් කවුද ටෙරන්ස්ව මැරුවේ කියලා, අපිට පුලුවන් දවසම උනත් ඉන්න.","If we talked about who had motive to kill Terrence, we'd be here all day.","If we talk about who killed Terrance, we can stay all day."
- මාව සෙල්ලමට ගන්නවට මම කැමති නෑ.,"- I don't want to be played, Gardner.",- I don't like being played.
सन्देश फोल्डरमा सार्नुहोस्,Rewrite Header,Move to Message Folder
ඒත් පරණ බලකොටුව අත් හැරල දාල නේද තියෙන්නෙ?,"But the old fortress is abandoned. No, Gandalf.","But the old fort is abandoned, isn't it?"
මම කියපු හැමදෙයක්ම.,Everything I said.,Everything I said.
ඒක පවුලේ කෑමවේලක්.,It was a family dinner.,It's a family meal.
"पाठ, प्रदर्शन गर्नका लागि पाठ फाइलको यूआरएल, कार्यान्वयनका लागि आदेश, वा इमेल विषय वस्तु लाइन संसूचक सन्देश","Alarm message text, URL of text file to display, command to execute, or email subject line","Text, URL of text file to display, command for execution, or email subject line notification message"
වැඩ මුලුවක් කරමින්. මම අද රෑ ආපසු යනවා,"I go back tonight,",I'm going back tonight.
