source_language,source_text,predicted_translation
Nepali (नेपाली),नेपालको राजधानी काठमाण्डौ हो।,Kathmandu is the capital of Nepal.
Nepali (नेपाली),म बिहान स्कूल जान्छु।,I go to school in the morning.
Nepali (नेपाली),उहाँको नाम राम छ।,His name is Ram.
Nepali (नेपाली),सस्तो र स्वादिलो खाना कहाँ पाउन सकिन्छ?,Where can cheap and tasty food be found?
Nepali (नेपाली),आज मौसम धेरै राम्रो छ।,The weather is very good today.
Nepali (नेपाली),म पुस्तक पढ्न मन पराउँछु।,I love to read books.
Nepali (नेपाली),यो शहर निकै सुन्दर छ।,This city is very beautiful.
Nepali (नेपाली),कृपया मलाई पानी दिनुहोस्।,Please give me water.
Nepali (नेपाली),हामी साँझमा भेट्नेछौं।,We'll see you in the evening.
Nepali (नेपाली),सुरक्षा सबैभन्दा महत्वपूर्ण कुरा हो।,Security is most important.
Sinhala (සිංහල),මම අද පාසලට යන්නෙමි।,I'm going to school today.
Sinhala (සිංහල),ඔහුගේ නම රාජීව යි।,His name is Rajiv.
Sinhala (සිංහල),අද වායුගෝලය ඉතා හොඳයි।,Today's atmosphere is very nice.
Sinhala (සිංහල),මෙම නගරය ඉතා ලස්සනයි।,This town is beautiful.
Sinhala (සිංහල),මම පොත් කියවීමට කැමතියි।,I like books.
Sinhala (සිංහල),කරුණාකර මට ජලය දෙන්න।,"Give me water, please."
Sinhala (සිංහල),අපි හවස හමුවෙමු।,See you in the afternoon.
Sinhala (සිංහල),සුරක්ෂිතතාව ප්‍රධාන වන්නේය।,Safety is paramount.
Sinhala (සිංහල),සුවිශේෂී ආහාර සොයා ගැනීමට කාලය ගත විය යුතුය।,It's gonna take time to find something special.
Sinhala (සිංහල),ඔබේ මිතුරන් සමඟ සතුටින් සිටින්න।,Be happy with your friends.
